,LAT,LON,SITE_NAME,YEAR_OBS,MONSOON,POSTMONSOONKHARIF,POSTMONSOONRABI,PREMONSOON
0,28.61472222,77.21194444,Shram Shakti Bhawan-1,2017,13.28,12.801999999999998,12.15,13.24
1,28.61722222,77.2,Presidents Estate-2,2017,12.674181034482759,12.801999999999998,12.69,13.93764044943821
2,28.59027778,77.21638889,Lodhi Garden.(SH),2017,7.85,12.801999999999998,7.78,13.93764044943821
3,28.60416667,77.175,Mahabir Vansth.,2017,12.674181034482759,12.801999999999998,26.61,24.65
4,28.59027778,77.2125,Safdarganj Tomb,2017,14.73,12.801999999999998,14.67,16.19
5,28.61166667,77.19944444,Presidents Estate-1,2017,12.674181034482759,12.801999999999998,20.49,13.93764044943821
6,28.59027778,77.21638889,Lodhi Garden (D)-1,2017,8.03,12.801999999999998,7.98,6.9
7,28.59166667,77.22055556,Lodhi Graden Dw,2017,11.46,12.801999999999998,13.95,11.9
8,28.61527778,77.2125,Shram Shakti Bhawan-3,2017,13.24,12.801999999999998,11.99,13.93764044943821
9,28.60611111,77.21,Nehru Park,2017,12.674181034482759,12.801999999999998,12.725819672131147,43.34
10,28.6125,77.225,India Gate,2017,7.65,12.801999999999998,8.77,8.39
11,28.63277778,77.19583333,Mandir Lane Pz,2017,12.674181034482759,12.801999999999998,12.725819672131147,10.92
12,28.63194444,77.19861111,Birla Mandir,2017,7.95,12.801999999999998,11.04,13.93764044943821
13,28.615,77.21222222,Shram Shakti Bhawan-2,2017,12.674181034482759,12.801999999999998,12.725819672131147,12.91
14,28.61472222,77.21194444,Shram Shakti Bhawan-1,2016,11.93,12.27,12.725819672131147,12.13
15,28.60611111,77.21,Nehru Park,2016,23.82,24.08,21.9,13.93764044943821
16,28.59166667,77.22055556,Lodhi Graden Dw,2016,11.56,11.9,12.725819672131147,12.58
17,28.59027778,77.21638889,Lodhi Garden (D)-1,2016,7.63,8.55,12.725819672131147,9.76
18,28.60416667,77.175,Mahabir Vansth.,2016,26.79,27.89,27.19,13.93764044943821
19,28.59027778,77.2125,Safdarganj Tomb,2016,15.4,15.55,15.59,13.93764044943821
20,28.61166667,77.19944444,Presidents Estate-1,2016,20.8,20.28,12.725819672131147,22.9
21,28.6125,77.225,India Gate,2016,7.17,7.23,8.13,13.93764044943821
22,28.61722222,77.2,Presidents Estate-2,2016,12.64,12.18,12.725819672131147,13.2
23,28.59027778,77.21638889,Lodhi Garden.(SH),2016,7.37,8.35,8.12,9.57
24,28.63194444,77.19861111,Birla Mandir,2016,7.91,9.94,11.86,13.93764044943821
25,28.61527778,77.2125,Shram Shakti Bhawan-3,2016,13.63,13.76,12.725819672131147,14.01
26,28.615,77.21222222,Shram Shakti Bhawan-2,2016,12.27,12.39,12.725819672131147,12.99
27,28.59027778,77.21638889,Lodhi Garden.(SH),2015,7.23,7.8,7.73,7.55
28,28.60611111,77.21,Nehru Park,2015,21.4,20.06,23.23,24.12
29,28.61166667,77.19944444,Presidents Estate-1,2015,20.78,20.26,20.56,21.05
30,28.61527778,77.2125,Shram Shakti Bhawan-3,2015,13.52,13.46,15.14,14.97
31,28.59166667,77.22055556,Lodhi Graden Dw,2015,11.8,12.05,11.6,12.1
32,28.59027778,77.2125,Safdarganj Tomb,2015,14.63,16.53,14.47,14.86
33,28.61472222,77.21194444,Shram Shakti Bhawan-1,2015,11.94,12.35,14.06,14.58
34,28.63194444,77.19861111,Birla Mandir,2015,8.32,11.95,9.24,13.5
35,28.59027778,77.21638889,Lodhi Garden (D)-1,2015,7.55,8.12,8.03,7.92
36,28.615,77.21222222,Shram Shakti Bhawan-2,2015,12.13,12.54,13.9,14.11
37,28.6125,77.225,India Gate,2015,6.85,8.15,5.47,7.44
38,28.60416667,77.175,Mahabir Vansth.,2015,26.46,26.83,27.3,27.08
39,28.61722222,77.2,Presidents Estate-2,2015,13.08,12.16,13.14,13.31
40,28.59027778,77.21638889,Lodhi Garden.(SH),2014,8.34,8.47,6.95,7.9
